epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8593,1.27232,3.46873,1.41252,0.00633,0.90909,0.05104,0.01396,1.21753,3.30899,1.4998,0.00010002,0.00010002,0.00010002
2,15.1498,0.94372,3.21337,1.16912,0.00723,1,0.30051,0.21694,0.85605,2.87738,0.98453,0.000212419,0.000212419,0.000212419
3,16.357,0.86821,2.63032,1.06776,0.00641,1,0.65146,0.43316,1.11404,2.70717,1.01094,0.000320197,0.000320197,0.000320197
4,17.4611,0.89206,2.17218,1.05336,0.00626,1,0.62492,0.46117,0.86212,2.58912,0.88691,0.000423355,0.000423355,0.000423355
5,18.5529,0.89327,1.84711,1.09558,0.00623,1,0.67028,0.50439,0.91796,2.54873,0.97736,0.000521891,0.000521891,0.000521891
6,19.6746,0.92162,1.67423,1.06928,0.00622,1,0.6564,0.4901,0.87208,2.59344,0.99024,0.000615806,0.000615806,0.000615806
7,20.845,0.92633,1.55571,1.07221,0.00615,1,0.65318,0.46714,0.87539,2.56852,0.97407,0.000705101,0.000705101,0.000705101
8,21.917,0.90943,1.47985,1.10185,0.00612,1,0.66597,0.44629,0.91419,2.50795,0.9874,0.000789775,0.000789775,0.000789775
9,22.9286,0.85703,1.34651,1.01333,0.00614,1,0.64406,0.44366,0.88682,2.47155,0.96845,0.000869827,0.000869827,0.000869827
10,24.0148,0.83086,1.28892,1.0279,0.00614,1,0.8056,0.55796,0.90719,2.41624,1.06344,0.000945259,0.000945259,0.000945259
11,25.1282,0.8019,1.25274,1.01637,0.68977,0.28269,0.77315,0.48542,1.08681,2.29002,1.24148,0.00101607,0.00101607,0.00101607
12,26.6067,0.81625,1.22882,1.00659,0.85776,0.52098,0.84131,0.58229,0.98233,2.22197,1.18747,0.00108226,0.00108226,0.00108226
13,27.9148,0.82802,1.28455,1.04747,0.86427,0.54545,0.85225,0.61852,0.8916,2.14296,1.13169,0.00114383,0.00114383,0.00114383
14,28.8422,0.82363,1.23714,1.01237,0.86427,0.54545,0.85225,0.61852,0.8916,2.14296,1.13169,0.00120078,0.00120078,0.00120078
15,29.8262,0.82483,1.28299,1.03895,0.89242,0.61929,0.86459,0.65981,0.9068,2.01978,1.18995,0.00120491,0.00120491,0.00120491
16,31.233,0.82989,1.24117,1.02277,0.94216,0.74543,0.87373,0.6657,0.90429,1.74998,1.22142,0.0011719,0.0011719,0.0011719
17,32.3567,0.82707,1.19998,1.04166,0.9118,0.78987,0.89897,0.69407,0.9505,1.54142,1.21276,0.00113889,0.00113889,0.00113889
18,33.5343,0.76926,1.10118,0.99867,0.965,0.82683,0.93627,0.72149,0.88878,1.32416,1.19038,0.00110589,0.00110589,0.00110589
19,34.709,0.79103,1.12632,1.03348,0.99198,0.87028,0.94396,0.70671,0.87792,1.18435,1.17231,0.00107288,0.00107288,0.00107288
20,36.0973,0.7837,1.13538,1.01439,0.9813,0.86364,0.96256,0.70637,0.91123,1.15689,1.17607,0.00103987,0.00103987,0.00103987
21,37.0487,0.78729,1.07559,0.99741,0.98999,0.86364,0.95866,0.68864,0.93097,1.15058,1.17079,0.00100687,0.00100687,0.00100687
22,38.3831,0.80363,1.08387,0.99783,0.98999,0.86364,0.95866,0.68864,0.93097,1.15058,1.17079,0.000973861,0.000973861,0.000973861
23,39.3866,0.72643,0.96813,0.97465,0.95731,0.87094,0.96712,0.71419,0.93818,1.14937,1.17962,0.000940855,0.000940855,0.000940855
24,40.326,0.74968,0.98509,0.98644,0.94974,0.94206,0.98536,0.72837,0.92596,0.93312,1.18275,0.000907848,0.000907848,0.000907848
25,41.416,0.71661,0.92372,0.98133,0.98793,0.95455,0.99125,0.7276,0.88334,0.84052,1.17125,0.000874842,0.000874842,0.000874842
26,42.365,0.71342,0.97409,1.00374,0.91624,0.90909,0.97365,0.73063,0.85041,0.85319,1.1443,0.000841835,0.000841835,0.000841835
27,43.3152,0.73744,0.93865,1.01257,0.96037,0.90105,0.9875,0.78922,0.84414,0.8337,1.14231,0.000808828,0.000808828,0.000808828
28,44.2223,0.6905,0.88408,0.98316,0.99427,0.93292,0.995,0.76928,0.86017,0.80651,1.14767,0.000775822,0.000775822,0.000775822
29,45.1714,0.72933,0.87636,0.9913,0.93515,1,0.995,0.76043,0.87728,0.83316,1.17882,0.000742815,0.000742815,0.000742815
30,46.2372,0.64971,0.85924,0.94419,0.93515,1,0.995,0.76043,0.87728,0.83316,1.17882,0.000709809,0.000709809,0.000709809
31,47.2012,0.66378,0.88587,0.96973,0.98361,0.99635,0.995,0.72885,0.90907,0.85405,1.20867,0.000676802,0.000676802,0.000676802
32,48.097,0.66837,0.82757,0.96886,0.92783,0.98764,0.9875,0.73828,0.87834,0.79839,1.16468,0.000643795,0.000643795,0.000643795
33,49.0954,0.71852,0.88461,1.02231,0.94207,0.90146,0.98,0.75321,0.87702,0.8299,1.13676,0.000610789,0.000610789,0.000610789
34,50.0326,0.61857,0.78003,0.9287,0.98117,0.87446,0.9875,0.76702,0.88704,0.84514,1.11942,0.000577782,0.000577782,0.000577782
35,51.5782,0.62351,0.82097,0.94702,0.97556,1,0.995,0.76485,0.85492,0.74726,1.11315,0.000544776,0.000544776,0.000544776
36,52.7447,0.66804,0.85116,0.98098,0.9948,0.96908,0.995,0.75827,0.84911,0.69169,1.12148,0.000511769,0.000511769,0.000511769
37,53.9713,0.64845,0.78605,0.94683,1,0.96181,0.995,0.75768,0.82873,0.66843,1.11873,0.000478762,0.000478762,0.000478762
